Time,Temperature
0,24.10
1,24.10
2,24.10
3,24.10
4,24.10
5,24.10
5.25,24.11
5.5,24.20
5.75,24.34
6,24.49
6.25,24.62
6.5,24.74
6.75,24.83
7,24.90
7.25,24.96
7.5,25.01
7.75,25.04
8,25.07
9,25.13
10,25.15
11,25.14
12,25.14
13,25.14
14,25.14
15,25.14
16,25.14
17,25.14
18,25.14
