Time , Temperature (C)
0.00,24.40
60.00,24.40
120.00,24.39
180.00,24.39
240.00,24.39
300.00,24.39
315.00,24.39
330.00,24.49
345.00,24.64
360.00,24.80
375.00,24.95
390.00,25.08
405.00,25.19
420.00,25.28
435.00,25.35
450.00,25.41
465.00,25.46
480.00,25.49
540.00,25.57
600.00,25.60
660.00,25.60
720.00,25.59
780.00,25.59
840.00,25.58
900.00,25.58
960.00,25.57
1020.00,25.57
1080.00,25.57
